Component Name,Area,RT
O2-Z-18-C26,N/A,N/A
O2-Z-18-C27,N/A,N/A
O2-Z-18-C28,N/A,N/A
O2-Z-18-C29,N/A,N/A
O2-Z-18-C30,N/A,N/A
O2-Z-18-C31,N/A,N/A
O2-Z-18-C32,N/A,N/A
O2-Z-18-C33,N/A,N/A
O2-Z-18-C34,N/A,N/A
O2-Z-18-C35,N/A,N/A
O2-Z-18-C36,N/A,N/A
O2-Z-18-C37,N/A,N/A
O2-Z-18-C38,N/A,N/A
O2-Z-18-C39,N/A,N/A
O2-Z-18-C40,N/A,N/A
O2-Z-20-C10,N/A,N/A
O2-Z-20-C11,N/A,N/A
O2-Z-20-C12,N/A,N/A
O2-Z-20-C13,N/A,N/A
O2-Z-20-C14,N/A,N/A
O2-Z-20-C15,N/A,N/A
O2-Z-20-C16,N/A,N/A
O2-Z-20-C17,N/A,N/A
O2-Z-20-C18,N/A,N/A
O2-Z-20-C19,N/A,N/A
O2-Z-20-C20,N/A,N/A
O2-Z-20-C21,N/A,N/A
O2-Z-20-C22,N/A,N/A
O2-Z-20-C23,N/A,N/A
O2-Z-20-C24,N/A,N/A
O2-Z-20-C25,N/A,N/A
O2-Z-20-C26,N/A,N/A
O2-Z-20-C27,N/A,N/A
O2-Z-20-C28,N/A,N/A
O2-Z-20-C29,N/A,N/A
O2-Z-20-C30,N/A,N/A
O2-Z-20-C31,N/A,N/A
O2-Z-20-C32,N/A,N/A
O2-Z-20-C33,N/A,N/A
O2-Z-20-C34,N/A,N/A
O2-Z-20-C35,N/A,N/A
O2-Z-20-C36,N/A,N/A
O2-Z-20-C37,N/A,N/A
O2-Z-20-C38,N/A,N/A
O2-Z-20-C39,N/A,N/A
O2-Z-20-C40,N/A,N/A
O2-Z-22-C11,N/A,N/A
O2-Z-22-C12,N/A,N/A
O2-Z-22-C13,N/A,N/A
O2-Z-22-C14,N/A,N/A
O2-Z-22-C15,N/A,N/A
O2-Z-22-C16,N/A,N/A
O2-Z-22-C17,N/A,N/A
O2-Z-22-C18,N/A,N/A
O2-Z-22-C19,N/A,N/A
O2-Z-22-C20,N/A,N/A
O2-Z-22-C21,N/A,N/A
O2-Z-22-C22,N/A,N/A
O2-Z-22-C23,N/A,N/A
O2-Z-22-C24,N/A,N/A
O2-Z-22-C25,N/A,N/A
O2-Z-22-C26,N/A,N/A
O2-Z-22-C27,N/A,N/A
O2-Z-22-C28,N/A,N/A
O2-Z-22-C29,N/A,N/A
O2-Z-22-C30,N/A,N/A
O2-Z-22-C31,N/A,N/A
O2-Z-22-C32,N/A,N/A
O2-Z-22-C33,N/A,N/A
O2-Z-22-C34,N/A,N/A
O2-Z-22-C35,N/A,N/A
O2-Z-22-C36,N/A,N/A
O2-Z-22-C37,N/A,N/A
O2-Z-22-C38,N/A,N/A
O2-Z-22-C39,N/A,N/A
O2-Z-22-C40,N/A,N/A
O2-Z-24-C12,N/A,N/A
O2-Z-24-C13,N/A,N/A
O2-Z-24-C14,N/A,N/A
O2-Z-24-C15,N/A,N/A
O2-Z-24-C16,N/A,N/A
O2-Z-24-C17,N/A,N/A
O2-Z-24-C18,N/A,N/A
O2-Z-24-C19,N/A,N/A
O2-Z-24-C20,N/A,N/A
O2-Z-24-C21,N/A,N/A
O2-Z-24-C22,N/A,N/A
O2-Z-24-C23,N/A,N/A
O2-Z-24-C24,N/A,N/A
O2-Z-24-C25,N/A,N/A
O2-Z-24-C26,N/A,N/A
O2-Z-24-C27,N/A,N/A
O2-Z-24-C28,N/A,N/A
O2-Z-24-C29,N/A,N/A
O2-Z-24-C30,N/A,N/A
O2-Z-24-C31,N/A,N/A
O2-Z-24-C32,N/A,N/A
O2-Z-24-C33,N/A,N/A
O2-Z-24-C34,N/A,N/A
O2-Z-24-C35,N/A,N/A
O2-Z-24-C36,N/A,N/A
O2-Z-24-C37,N/A,N/A
O2-Z-24-C38,N/A,N/A
O2-Z-24-C39,N/A,N/A
O2-Z-24-C40,N/A,N/A
Sur-01_D15_C8:0,7987400.02,10.54
Sur-02_2[C13]_C10:0,10800854.03,12.89
Sur-03_D2_C12:0,10955994.54,14.78
Sur-04_D2_C16:0,11234514.13,18.2
Sur-05_2[C13]_C18:0,13578999.28,20.02
Sur-06_D39_C20:0,10897383.42,21.78
TIC,N/A,N/A
